Year,ReefName,ReefLabel,Total_Dives,Total_Diver_Hours,Wasted_Diver_Hours,Borderline_Diver_Hours,Needed_Diver_Hours,NeededLow_Diver_Hours,NeededHigh_Diver_Hours,Total_COTS_Culled,Proportion_Wasted,Proportion_Borderline,Proportion_Needed,Proportion_NeededLow,Proportion_NeededHigh,Scout_Diver_Hours,Initial_CPUE,Total_Tows,Mean_COTS_per_Tow,Tows_With_Scars,Pct_Tows_With_Scars,Total_eDNA_Samples,eDNA_Positives,eDNA_Mean_Conc,eDNA_Pct_Positive
2021,Davies Reef (18-096),18-096,56,227.01666666666668,0,4,223.01666666666668,65.86666666666666,157.15,2139,0,0.017619851699581527,0.9823801483004184,0.2901402246531091,0.6922399236473092,15.566666666666666,0.14025695931477516,158,0.16455696202531644,38,24.050632911392405,36,33,97.19724720830555,91.66666666666666
2021,Eyrie Reef (14-118),14-118,31,142.96666666666667,28,36.96666666666667,78,42,36,531,0.19584984844952202,0.2585684308696666,0.5455817206808113,0.29377477267428304,0.2518069480065283,18.383333333333333,0.08340888485947416,87,0.022988505747126436,26,29.88505747126437,36,26,12.04304084025,72.22222222222221
2021,Green Island Reef (16-049),16-049,19,82.18333333333334,28,8.933333333333334,45.25,31.733333333333334,13.516666666666667,219,0.34070168322855404,0.10870006083958629,0.5505982559318596,0.3861285743256946,0.16446968160616507,17.916666666666668,0.07441860465116279,207,0.024154589371980676,11,5.314009661835748,35,20,10.630004248314286,57.14285714285714
2021,Lizard Island Reef (Lagoon) (14-116d),14-116d,4,18.666666666666668,14,4.666666666666667,0,0,0,17,0.75,0.25,0,0,0,4.666666666666667,0.0035714285714285713,NA,NA,NA,NA,90,41,9.195358184877778,45.55555555555556
2021,Lizard Island Reef (North East) (14-116b),14-116b,3,14,14,0,0,0,0,7,1,0,0,0,0,14,0.008333333333333333,NA,NA,NA,NA,30,12,5.358045527633333,40
2021,Lizard Island Reef (North West) (14-116a),14-116a,5,23.333333333333332,9.333333333333334,9.333333333333334,4.666666666666667,4.666666666666667,0,41,0.4,0.4,0.2,0.2,0,18.666666666666668,0.03214285714285714,85,0,15,17.647058823529413,30,28,53.3754216111,93.33333333333333
2021,Moore Reef (16-071),16-071,33,159.8,88.66666666666667,51.13333333333333,20,20,0,188,0.5548602419691281,0.3199833124739257,0.12515644555694616,0.12515644555694616,0,9.333333333333334,0.0017857142857142857,351,0.005698005698005698,21,5.982905982905983,36,27,391.49006523794446,75
2021,North Direction Reef (14-143),14-143,2,9.333333333333334,9.333333333333334,0,0,0,0,3,1,0,0,0,0,9.333333333333334,0.005357142857142857,18,0,2,11.11111111111111,36,11,4.915611985222222,30.555555555555557
2021,Thetford Reef (16-068),16-068,6,24,14.666666666666666,9.333333333333334,0,0,0,21,0.611111111111111,0.3888888888888889,0,0,0,5.333333333333333,0.003125,190,0.005263157894736842,6,3.1578947368421053,36,15,7.5886411902777775,41.66666666666667
2021,Tongue Reef (16-026),16-026,32,131,82.66666666666667,23.666666666666668,24.666666666666668,3.6666666666666665,21,208,0.6310432569974556,0.1806615776081425,0.18829516539440205,0.027989821882951654,0.16030534351145037,18.666666666666668,0.009821428571428571,649,0.0015408320493066256,16,2.465331278890601,36,20,15.3032554075,55.55555555555556
2022,Batt Reef (16-029),16-029,236,1309.1833333333334,430.6333333333333,397.18333333333334,481.3666666666667,346.53333333333336,134.83333333333334,3018,0.32893279525403873,0.30338251581774894,0.3676846889282122,0.26469427505696935,0.10299041387124289,10.666666666666666,0.05625,613,0.01468189233278956,71,11.582381729200652,36,26,20.62412059575,72.22222222222221
2022,Bowden Reef (19-019),19-019,58,323.18333333333334,169.13333333333333,91.15,62.9,53.4,9.5,481,0.5233355680470321,0.282038058893301,0.19462637305966685,0.16523129286782529,0.029395080191841574,27.433333333333334,0.02187120291616039,478,0.04184100418410042,75,15.690376569037657,36,35,92.34761094544444,97.22222222222221
2022,Cairns Reef (15-086),15-086,1,7.5,7.5,0,0,0,0,0,1,0,0,0,0,7.5,0,100,0,0,0,36,4,1.2783499900277777,11.11111111111111
2022,Davies Reef (18-096),18-096,212,660.5166666666667,100.28333333333333,104.28333333333333,455.95,231.06666666666666,224.88333333333333,2785,0.1518255910776917,0.15788145643561857,0.6902929524866898,0.3498271555095758,0.3404657969771139,32,0.065625,124,0,21,16.93548387096774,72,64,54.80659197661972,88.88888888888889
2022,Elford Reef (16-073),16-073,27,107,107,0,0,0,0,16,1,0,0,0,0,16,0.004166666666666667,294,0,12,4.081632653061225,36,14,4.8892760957777774,38.88888888888889
2022,Eyrie Reef (14-118),14-118,107,659.55,254.13333333333333,114.25,291.1666666666667,218.45,72.71666666666667,1592,0.3853132186086473,0.1732241679933288,0.44146261339802395,0.331210673944356,0.11025193945366792,12,0.05277777777777778,178,0.02247191011235955,72,40.44943820224719,36,16,8.19058247525,44.44444444444444
2022,Green Island Reef (16-049),16-049,8,46.28333333333333,40.45,5.833333333333333,0,0,0,14,0.8739647101188334,0.12603528988116672,0,0,0,15,0,52,0,0,0,36,28,24.80342465775,77.77777777777779
2022,Lizard Island Reef (Lagoon) (14-116d),14-116d,15,76.8,44.55,22.5,9.75,9.75,0,98,0.580078125,0.29296875,0.126953125,0.126953125,0,22.333333333333332,0.008955223880597015,98,0,10,10.204081632653061,90,52,16.70110572808889,57.77777777777777
2022,Lizard Island Reef (North East) (14-116b),14-116b,10,45.38333333333333,45.38333333333333,0,0,0,0,9,1,0,0,0,0,21.983333333333334,0.004548900682335102,60,0.016666666666666666,5,8.333333333333332,30,11,4.759685117566667,36.666666666666664
2022,Lizard Island Reef (North West) (14-116a),14-116a,6,34,24.5,4.75,4.75,4.75,0,35,0.7205882352941176,0.13970588235294118,0.13970588235294118,0.13970588235294118,0,7.5,0.015555555555555555,141,0.0070921985815602835,7,4.964539007092199,30,23,27.782090548166668,76.66666666666667
2022,Moore Reef (16-071),16-071,46,203,203,0,0,0,0,20,1,0,0,0,0,13.333333333333334,0.00125,69,0,21,30.434782608695656,36,13,9.04026916163889,36.11111111111111
2022,North Direction Reef (14-143),14-143,2,15,15,0,0,0,0,3,1,0,0,0,0,15,0.0033333333333333335,35,0,2,5.714285714285714,36,11,2.5916674484166666,30.555555555555557
2022,Thetford Reef (16-068),16-068,30,137.88333333333333,133.88333333333333,4,0,0,0,33,0.9709899673637132,0.029010032636286716,0,0,0,4,0.020833333333333332,158,0,13,8.227848101265822,36,5,1.7240137638333333,13.88888888888889
2022,Tongue Reef (16-026),16-026,19,91.63333333333334,81.31666666666666,10.316666666666666,0,0,0,25,0.8874136049472534,0.11258639505274644,0,0,0,10.316666666666666,0.030694668820678513,223,0.004484304932735426,6,2.690582959641256,36,11,4.723176484333333,30.555555555555557
2022,Undine Reef (West) (16-020a),16-020a,8,38.333333333333336,38.333333333333336,0,0,0,0,0,1,0,0,0,0,20,0,320,0,5,1.5625,36,1,0.22457727852777776,2.7777777777777777
2023,Banfield Reef (North) (18-105a),18-105a,107,406.18333333333334,40.25,44.63333333333333,321.3,56.2,265.1,2951,0.09909318452258832,0.10988469902753271,0.791022116449879,0.13836116696073203,0.652660949489147,9.633333333333333,0.19377162629757785,91,0.03296703296703297,57,62.637362637362635,24,20,25.960336197125,83.33333333333334
2023,Batt Reef (16-029),16-029,195,987.3666666666667,432.85,299.6666666666667,254.85,197.81666666666666,57.03333333333333,1733,0.43838830559400427,0.3035008946355626,0.2581107997704331,0.20034772627527767,0.05776307349515546,22.333333333333332,0.019402985074626865,547,0.012797074954296161,60,10.968921389396709,36,33,54.90810790483334,91.66666666666666
2023,Bowden Reef (19-019),19-019,33,156.36666666666667,78.51666666666667,49.88333333333333,27.966666666666665,27.966666666666665,0,223,0.5021317416329141,0.31901513536559367,0.1788531230014922,0.1788531230014922,0,35.03333333333333,0.029971455756422453,114,0.05263157894736842,47,41.228070175438596,36,35,53.012944572416664,97.22222222222221
2023,Cairns Reef (15-086),15-086,37,208.03333333333333,159.08333333333334,15.25,33.7,16.333333333333332,17.366666666666667,277,0.7647011696843455,0.07330556000640923,0.16199327030924532,0.07851305880467874,0.08348021150456658,12,0.029166666666666667,649,0,18,2.773497688751926,36,17,5.031264262833333,47.22222222222222
2023,Darley Reef (19-043),19-043,49,30.033333333333335,24.616666666666667,2,3.4166666666666665,1.5166666666666666,1.9,24,0.8196448390677025,0.06659267480577136,0.11376248612652608,0.05049944506104328,0.06326304106548279,13.816666666666666,0.016887816646562123,437,0.011441647597254004,63,14.416475972540047,48,23,10.702480247145834,47.91666666666667
2023,Davies Reef (18-096),18-096,193,559.3666666666667,135.85,115.28333333333333,308.23333333333335,204.71666666666667,103.51666666666667,1708,0.2428639532804958,0.2060961802038019,0.5510398665157022,0.36597938144329895,0.1850604850724033,25.133333333333333,0.013925729442970823,140,0.007142857142857143,24,17.142857142857142,60,48,39.47738230135,80
2023,Elford Reef (16-073),16-073,19,115.91666666666667,115.91666666666667,0,0,0,0,2,1,0,0,0,0,6.333333333333333,0,259,0,11,4.247104247104247,36,2,0.44692694208333333,5.555555555555555
2023,Eyrie Reef (14-118),14-118,63,358,180.91666666666666,127.83333333333333,49.25,33,16.25,587,0.5053538175046555,0.35707635009310984,0.13756983240223464,0.09217877094972067,0.04539106145251397,22.333333333333332,0.010447761194029851,180,0.06666666666666667,41,22.77777777777778,36,28,18.23445505811111,77.77777777777779
2023,Faith Reef (19-044),19-044,13,17.216666666666665,4.016666666666667,11.683333333333334,1.5166666666666666,1.5166666666666666,0,28,0.23330106485963215,0.6786060019361085,0.08809293320425944,0.08809293320425944,0,9.05,0.027624309392265192,59,0.01694915254237288,3,5.084745762711865,12,9,154.63194590375002,75
2023,Green Island Reef (16-049),16-049,26,161.16666666666666,161.16666666666666,0,0,0,0,35,1,0,0,0,0,22.333333333333332,0,210,0.004761904761904762,10,4.761904761904762,36,26,10.950222688833334,72.22222222222221
2023,Lizard Island Reef (Lagoon) (14-116d),14-116d,4,25,15,5,5,5,0,34,0.6,0.2,0.2,0.2,0,5,0.023333333333333334,3,0,2,66.66666666666666,90,64,31.15752709931111,71.11111111111111
2023,Lizard Island Reef (North West) (14-116a),14-116a,13,72.83333333333333,56.416666666666664,11.666666666666666,4.75,4.75,0,46,0.7745995423340961,0.16018306636155608,0.06521739130434782,0.06521739130434782,0,23.333333333333332,0.016428571428571428,88,0,13,14.772727272727273,30,25,21.901984586866668,83.33333333333334
2023,Lynchs Reef (18-091),18-091,114,260.15,38.55,25.783333333333335,195.81666666666666,90.76666666666667,105.05,1261,0.1481837401499135,0.09910948811583063,0.7527067717342559,0.34890127490550327,0.40380549682875266,17.8,0.047752808988764044,63,0.015873015873015872,28,44.44444444444444,48,31,17.7184463516875,64.58333333333334
2023,Moore Reef (16-071),16-071,59,338.6666666666667,338.6666666666667,0,0,0,0,28,1,0,0,0,0,25.666666666666668,0.00064935064935064935,213,0,28,13.145539906103288,36,25,40.44839610661111,69.44444444444444
2023,Osterlund Reef (15-078),15-078,26,175.33333333333334,175.33333333333334,0,0,0,0,12,1,0,0,0,0,11.333333333333334,0.0014705882352941176,274,0,24,8.75912408759124,36,7,2.692460936111111,19.444444444444446
2023,Prawn Reef (19-024),19-024,14,11.033333333333333,9.45,1.5833333333333333,0,0,0,5,0.8564954682779455,0.14350453172205438,0,0,0,3.6,0.009259259259259259,8,0,1,12.5,24,11,8.248793474375,45.83333333333333
2023,Rudder Reef (16-023),16-023,16,96.83333333333333,96.83333333333333,0,0,0,0,27,1,0,0,0,0,25.333333333333332,0.002631578947368421,146,0,6,4.10958904109589,36,7,7776.876080576889,19.444444444444446
2023,Shrimp Reef (18-118),18-118,16,9.333333333333334,8.366666666666667,0,0.9666666666666667,0.9666666666666667,0,4,0.8964285714285715,0,0.10357142857142856,0.10357142857142856,0,9.333333333333334,0.007142857142857143,66,0.015151515151515152,5,7.575757575757576,12,6,5.14942981,50
2023,Thetford Reef (16-068),16-068,4,26.666666666666668,26.666666666666668,0,0,0,0,4,1,0,0,0,0,26.666666666666668,0.0025,154,0,5,3.2467532467532463,36,6,1.7894392056944444,16.666666666666664
2023,Tongue Reef (16-026),16-026,29,192.2,192.2,0,0,0,0,7,1,0,0,0,0,11,0,390,0,19,4.871794871794872,36,16,11.989270648,44.44444444444444
2023,Undine Reef (West) (16-020a),16-020a,4,33.333333333333336,33.333333333333336,0,0,0,0,0,1,0,0,0,0,33.333333333333336,0,NA,NA,NA,NA,36,2,0.42315952791666667,5.555555555555555
2024,Davies Reef (18-096),18-096,156,489.3666666666667,203.9,145.66666666666666,139.8,107.75,32.05,968,0.4166609903957496,0.29766364689053876,0.28567536271371163,0.2201825488726926,0.065492813841019,6.333333333333333,0.06578947368421052,330,0.015151515151515152,53,16.060606060606062,108,107,208.42348738490742,99.07407407407408
2024,Lizard Island Reef (Lagoon) (14-116d),14-116d,56,311.43333333333334,148.75,86.91666666666667,75.76666666666667,52.85,22.916666666666668,566,0.47763031146312745,0.27908594669806275,0.2432837418388098,0.16969924007278175,0.07358450176602804,8.333333333333334,0.019999999999999997,198,0.030303030303030304,25,12.626262626262626,60,50,33.35948502628333,83.33333333333334
2024,Lizard Island Reef (North East) (14-116b),14-116b,4,26.666666666666668,20,6.666666666666667,0,0,0,14,0.75,0.25,0,0,0,13.333333333333334,0.01375,100,0.03,8,8,20,9,6.9807570562,45
2024,Lizard Island Reef (North West) (14-116a),14-116a,19,115.68333333333334,110.68333333333334,0,5,5,0,58,0.9567785621668348,0,0.04322143783316525,0.04322143783316525,0,13.333333333333334,0.00375,54,0,4,7.4074074074074066,20,20,46.49549630455,100
2025,(Big) Broadhurst Reef (No 1) (18-100a),18-100a,116,589.1666666666666,346.9,93.85,148.41666666666666,70.08333333333333,78.33333333333333,1151,0.5887977369165488,0.1592927864214993,0.2519094766619519,0.11895332390381895,0.13295615275813297,6.75,0.009876543209876543,637,0.026687598116169546,126,19.78021978021978,24,12,7.625,50
2025,Banfield Reef (North) (18-105a),18-105a,236,832.0166666666667,56.35,128,647.6666666666666,283.3833333333333,364.28333333333336,4324,0.06772700867370446,0.15384307205384506,0.7784299192724504,0.3405981450692093,0.43783177420324115,21.6,0.07175925925925926,61,0.08196721311475409,15,24.59016393442623,48,44,66.48527315104167,91.66666666666666
2025,Batt Reef (16-029),16-029,254,1429.7,160.01666666666668,174.66666666666666,1095.0166666666667,411.76666666666665,683.25,7841,0.11192324730129864,0.12217015224639201,0.7659066004523093,0.2880091394465039,0.4778974610058054,26.666666666666668,0.1025,237,0.029535864978902954,92,38.81856540084388,42,32,16.12799251502381,76.19047619047619
2025,Bowden Reef (19-019),19-019,42,147.55,101.08333333333333,11.8,34.666666666666664,30.666666666666668,4,182,0.6850785044617643,0.07997289054557777,0.23494860499265782,0.2078391505704281,0.02710945442222975,13.066666666666666,0.00510204081632653,244,0.05327868852459016,20,8.19672131147541,42,32,16.150817314833333,76.19047619047619
2025,Bushy-Redbill Reef (20-310),20-310,25,116.85,0,0,116.85,0,116.85,2022,0,0,1,0,1,13.85,0.22984356197352587,60,1.2666666666666666,34,56.666666666666664,24,21,54.66703852058333,87.5
2025,Cairns Reef (15-086),15-086,2,4.3,4.3,0,0,0,0,0,1,0,0,0,0,4.3,0,100,0,0,0,36,17,5.500365064388888,47.22222222222222
2025,Davies Reef (18-096),18-096,62,222.01666666666668,109.63333333333334,81.38333333333334,31,31,0,291,0.49380677126341865,0.3665640717663839,0.13962915697019743,0.13962915697019743,0,29.116666666666667,0.026903262736119062,177,0.096045197740113,35,19.774011299435028,42,40,71.80173417483333,95.23809523809523
2025,Eyrie Reef (14-118),14-118,8,56.666666666666664,36.666666666666664,0,20,6.666666666666667,13.333333333333334,123,0.6470588235294118,0,0.35294117647058826,0.11764705882352942,0.23529411764705885,26.666666666666668,0.06375,86,0.011627906976744186,5,5.813953488372093,42,33,18.122487329,78.57142857142857
2025,Green Island Reef (16-049),16-049,8,56.666666666666664,20,25,11.666666666666666,5.833333333333333,5.833333333333333,109,0.35294117647058826,0.44117647058823534,0.20588235294117646,0.10294117647058823,0.10294117647058823,33.333333333333336,0.024499999999999997,54,0.037037037037037035,5,9.25925925925926,36,8,3.2010632878888887,22.22222222222222
2025,Judith Wright Reef (18-101),18-101,78,278.9166666666667,77.26666666666667,38.43333333333333,163.21666666666667,59.016666666666666,104.2,1309,0.27702420077681505,0.137795040334628,0.5851807588885569,0.2115924708694353,0.3735882880191216,30.2,0.17549668874172186,182,0.06043956043956044,21,11.538461538461538,24,19,131.47765900625,79.16666666666666
2025,Lizard Island Reef (Lagoon) (14-116d),14-116d,25,150.66666666666666,50.666666666666664,31.916666666666668,68.08333333333333,53,15.083333333333334,363,0.336283185840708,0.21183628318584072,0.4518805309734513,0.3517699115044248,0.10011061946902657,12.666666666666666,0.035526315789473684,112,0.0625,17,15.178571428571427,60,46,26.881420110583335,76.66666666666667
2025,Lizard Island Reef (North East) (14-116b),14-116b,3,11.633333333333333,11.633333333333333,0,0,0,0,8,1,0,0,0,0,0.38333333333333336,0,29,0,11,37.93103448275862,20,9,7.6742113476,45
2025,Lizard Island Reef (North West) (14-116a),14-116a,16,94.33333333333333,44.416666666666664,44.333333333333336,5.583333333333333,0,5.583333333333333,124,0.4708480565371025,0.46996466431095413,0.05918727915194346,0,0.05918727915194346,0.5,0,126,0.031746031746031744,20,15.873015873015872,20,3,1.72490727175,15
2025,Moore Reef (16-071),16-071,2,16.05,16.05,0,0,0,0,1,1,0,0,0,0,16.05,0.0010384215991692627,124,0,1,0.8064516129032258,36,21,8.547548453194445,58.333333333333336
2025,North Direction Reef (14-143),14-143,2,13.333333333333334,6.666666666666667,6.666666666666667,0,0,0,16,0.5,0.5,0,0,0,13.333333333333334,0.02,18,0,1,5.555555555555555,42,25,81.33651414207142,59.523809523809526
2025,Pike Reef (21-549),21-549,3,25.966666666666665,25.966666666666665,0,0,0,0,8,1,0,0,0,0,8.966666666666667,0,117,0,2,1.7094017094017095,24,4,1.2979834806174038,16.666666666666664
2025,Rudder Reef (16-023),16-023,2,8.333333333333334,8.333333333333334,0,0,0,0,2,1,0,0,0,0,8.333333333333334,0.003999999999999999,207,0,5,2.4154589371980677,36,18,7.35883818325,50
2025,Tongue Reef (16-026),16-026,11,83.1,4.166666666666667,22.5,56.43333333333333,36.43333333333333,20,328,0.05014039310068192,0.27075812274368233,0.6791014841556358,0.4384275972723626,0.24067388688327318,16.666666666666668,0.037,406,0,5,1.2315270935960592,36,14,4.741329094138889,38.88888888888889
2025,U/N Reef (15-043),15-043,2,5.333333333333333,5.333333333333333,0,0,0,0,1,1,0,0,0,0,5.333333333333333,0.003125,81,0,0,0,24,19,26.547695673070844,79.16666666666666
2025,U/N Reef (20-386),20-386,16,69.4,17.983333333333334,12.833333333333334,38.583333333333336,14.5,24.083333333333332,250,0.2591258405379443,0.18491834774255522,0.5559558117195005,0.2089337175792507,0.3470220941402497,7,0.011904761904761904,177,0.23163841807909605,41,23.163841807909606,48,25,14.811674843645832,52.083333333333336
2025,U/N Reef (21-057),21-057,13,98.41666666666667,72.21666666666667,26.2,0,0,0,66,0.7337849280270957,0.2662150719729043,0,0,0,21.25,0,125,0,6,4.8,24,4,1.5679939184166667,16.666666666666664
2025,U/N Reef (21-067),21-067,4,14.266666666666667,0,0,14.266666666666667,3.6,10.666666666666666,118,0,0,1,0.2523364485981308,0.747663551401869,14.266666666666667,0.1378504672897196,28,0.6785714285714286,5,17.857142857142858,24,12,18.441610828166667,50
2025,U/N Reef (21-069),21-069,4,11.8,11.8,0,0,0,0,0,1,0,0,0,0,11.8,0,18,0.05555555555555555,4,22.22222222222222,24,1,0.34751712808333335,4.166666666666666
2025,U/N Reef (21-092),21-092,2,9,9,0,0,0,0,3,1,0,0,0,0,9,0.005555555555555556,48,0.041666666666666664,2,4.166666666666666,24,19,41.93820750845833,79.16666666666666
2025,U/N Reef (21-094),21-094,9,51.55,51.55,0,0,0,0,6,1,0,0,0,0,25.333333333333332,0.002631578947368421,79,0,17,21.518987341772153,24,16,11.727310064666666,66.66666666666666
2025,U/N Reef (21-250a),21-250a,8,33.28333333333333,16.45,12.166666666666666,4.666666666666667,4.666666666666667,0,40,0.4942413620430646,0.3655483224837256,0.14021031547320983,0.14021031547320983,0,16.333333333333332,0.01326530612244898,109,0.027522935779816515,8,7.339449541284404,24,20,15.536350151523944,83.33333333333334
2025,U/N Reef (21-460),21-460,7,59.93333333333333,59.93333333333333,0,0,0,0,1,1,0,0,0,0,35.6,0,56,0,4,7.142857142857142,24,2,1,8.333333333333332
2025,U/N Reef (21-466),21-466,20,157.25,157.25,0,0,0,0,13,1,0,0,0,0,16.883333333333333,0.004935834155972359,180,0.005555555555555556,10,5.555555555555555,24,2,0.9375,8.333333333333332
2025,Undine Reef (West) (16-020a),16-020a,8,34.2,34.2,0,0,0,0,9,1,0,0,0,0,4.2,0.003968253968253968,144,0,2,1.3888888888888888,42,30,145.50765010709523,71.42857142857143
2025,Vicki Harriott Reef (15-070),15-070,30,166.35,37.416666666666664,57.46666666666667,71.46666666666667,51.666666666666664,19.8,459,0.22492736198777677,0.34545636709748523,0.42961627091473803,0.31059012123033763,0.11902614968440037,26.666666666666668,0.043125,95,0.021052631578947368,23,24.210526315789473,24,19,26.254919962957494,79.16666666666666
